dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kills,longest_kill,revives,total_distance,ride_distance,road_kills,swim_distance,vehicle_destroys,time_survived,walk_distance,weapons_acquired,win_place,team_count,map_name,duration
3,0,6,320,0,2,3,0.023,1,2.59,1.09,0,0.0,0,1175,1.5,5,9,16,에란겔,1737
1,0,8,264,0,2,0,0.0,0,4.75,3.57,0,0.0,0,1431,1.18,5,5,17,에란겔,1713
0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,87,0.0,1,16,16,태이고,1509
0,0,0,25,0,0,0,0.0,0,0.03,0.0,0,0.0,0,147,0.03,2,14,16,에란겔,1417
0,0,0,25,0,0,0,0.0,0,0.13,0.0,0,0.0,0,226,0.13,1,16,16,태이고,1687
0,0,0,0,0,0,0,0.0,0,0.09,0.0,0,0.0,0,197,0.09,3,15,16,태이고,1427
0,0,3,0,0,1,0,0.0,0,5.21,4.1,0,0.0,0,1198,1.11,5,6,16,미라마,1848
0,0,0,0,0,0,0,0.0,0,0.24,0.0,0,0.0,0,325,0.24,4,16,17,미라마,1756
1,0,2,89,0,0,1,0.025,0,3.27,1.64,0,0.0,0,834,1.63,4,6,15,에란겔,1803
1,3,6,425,0,4,2,0.103,0,3.79,2.04,0,0.0,0,1494,1.75,6,5,17,미라마,1872
1,0,0,197,0,0,1,0.003,0,0.2,0.0,0,0.0,0,292,0.2,2,12,16,태이고,1606
0,1,2,59,0,2,0,0.0,0,4.55,3.77,0,0.0,0,814,0.79,3,11,15,에란겔,1539
1,0,0,128,0,0,0,0.0,0,0.22,0.0,0,0.0,0,218,0.22,3,14,16,에란겔,1445
2,1,5,203,0,2,1,0.068,1,4.97,4.3,0,0.0,0,727,0.67,6,12,16,태이고,1868
0,0,6,315,1,2,2,0.112,0,5.54,3.11,0,0.0,0,1694,2.43,7,2,16,미라마,1697
3,0,5,257,0,7,0,0.0,0,2.75,1.35,0,0.0,0,1386,1.4,5,5,17,태이고,1808
3,2,4,418,0,0,1,0.02,0,4.85,2.53,0,0.0,1,1382,2.31,10,4,16,미라마,1699
3,0,5,464,0,2,3,0.053,0,5.59,4.23,0,0.0,0,1186,1.35,7,5,16,태이고,1751
1,0,7,200,1,2,2,0.176,0,3.9,1.78,0,0.0,0,1198,2.12,7,6,16,미라마,1615
0,0,7,66,0,6,0,0.0,0,7.36,5.2,0,0.6,0,1767,1.57,3,3,15,미라마,1783
0,0,0,45,0,0,0,0.0,0,0.22,0.0,0,0.0,0,179,0.22,2,15,16,미라마,1648
0,0,0,0,0,0,0,0.0,0,0.07,0.0,0,0.0,0,167,0.07,1,16,16,에란겔,1859
1,0,6,139,0,3,1,0.099,0,5.08,4.04,0,0.0,0,1044,1.03,5,6,16,에란겔,1615
1,0,1,52,0,0,1,0.026,0,4.97,4.18,0,0.0,0,680,0.79,4,12,16,에란겔,1905
0,0,1,0,0,0,0,0.0,0,4.48,3.53,0,0.0,0,651,0.95,5,2,16,태이고,1424
0,0,7,0,0,0,0,0.0,0,4.72,3.57,0,0.0,0,1175,1.15,3,2,16,미라마,1663
0,0,1,0,0,1,0,0.0,0,0.21,0.0,0,0.0,0,147,0.21,2,12,16,태이고,1760
0,1,3,82,0,0,0,0.0,0,5.29,4.44,0,0.0,0,736,0.85,4,6,16,에란겔,1799
0,3,2,156,0,1,0,0.0,0,5.07,4.19,0,0.0,0,816,0.88,4,3,16,미라마,1802
0,0,0,0,0,0,0,0.0,0,0.28,0.0,0,0.0,0,201,0.28,2,15,15,미라마,1814
0,1,4,105,0,4,0,0.0,0,2.8,1.48,0,0.0,0,1050,1.32,6,8,15,에란겔,1852
0,0,1,0,0,0,0,0.0,0,5.92,4.88,0,0.03,0,1073,1.02,5,9,17,에란겔,1876
0,0,0,0,0,0,0,0.0,0,3.46,2.95,0,0.0,0,545,0.5,6,14,16,태이고,1898
2,0,0,196,0,0,0,0.0,0,0.73,0.0,0,0.0,0,418,0.73,4,13,15,에란겔,1829
1,0,0,100,0,0,0,0.0,0,2.82,2.16,0,0.0,0,496,0.66,6,15,15,태이고,1713
3,2,6,425,1,0,3,0.074,0,10.44,7.92,0,0.0,0,1662,2.52,4,3,15,태이고,1712
5,2,8,679,0,3,2,0.047,0,4.65,2.25,0,0.0,0,1509,2.4,7,2,16,미라마,1777
1,0,0,45,0,0,1,0.004,1,0.39,0.0,0,0.0,0,348,0.39,3,13,17,에란겔,1804
1,0,3,61,0,0,0,0.0,0,1.25,0.14,0,0.0,0,679,1.12,5,12,16,에란겔,1752
1,1,8,369,1,2,1,0.001,3,9.53,7.68,0,0.0,0,1825,1.85,6,3,13,태이고,1838
0,2,8,207,0,2,0,0.0,2,5.7,4.18,0,0.0,0,1476,1.52,6,2,13,에란겔,1665
0,0,4,0,0,3,0,0.0,0,1.95,0.77,0,0.0,0,1200,1.18,4,8,16,에란겔,1894
1,1,11,228,0,7,0,0.0,2,6.4,4.83,0,0.0,0,1837,1.56,12,2,15,태이고,1935
0,0,0,0,0,0,0,0.0,0,0.17,0.0,0,0.0,0,855,0.17,4,4,15,에란겔,1648
0,0,11,0,0,3,0,0.0,1,7.19,5.81,0,0.0,0,1650,1.38,5,4,16,미라마,1893
0,1,4,175,0,6,0,0.0,1,3.34,1.66,0,0.0,0,1409,1.68,6,8,17,미라마,1790
0,0,8,0,0,6,0,0.0,0,7.32,5.64,0,0.0,1,1592,1.69,5,5,17,에란겔,1832
1,2,8,486,0,8,0,0.0,4,2.95,0.33,0,0.0,0,1764,2.62,5,1,17,미라마,1801
1,2,13,503,0,8,1,0.019,3,8.73,7.31,0,0.0,0,1795,1.42,4,2,17,태이고,1798
0,0,3,41,0,8,0,0.0,0,4.2,3.42,0,0.0,0,1097,0.79,8,3,16,에란겔,1775
0,0,12,0,0,1,0,0.0,0,3.91,2.41,0,0.0,0,1748,1.49,4,4,18,미라마,1828
1,1,5,112,0,1,1,0.029,0,7.19,6.41,0,0.0,0,1144,0.78,3,9,15,에란겔,1674
0,0,0,0,0,0,0,0.0,0,2.55,1.79,0,0.0,0,488,0.76,9,10,16,태이고,1641
1,0,7,120,0,3,2,0.037,2,7.4,6.0,0,0.0,1,1537,1.41,9,5,17,미라마,1911
1,0,8,115,0,4,0,0.0,0,8.63,7.59,0,0.0,1,1262,1.04,5,7,15,태이고,1883
0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,289,0.0,0,11,16,미라마,1787
0,0,0,0,0,0,0,0.0,0,0.12,0.0,0,0.0,0,206,0.12,3,5,16,미라마,1706
1,1,1,100,0,0,0,0.0,0,4.48,3.37,0,0.0,0,756,1.11,4,14,16,미라마,1676
0,0,4,79,0,4,0,0.0,1,8.73,7.35,0,0.0,0,1138,1.38,7,12,16,미라마,1828
1,0,10,516,0,3,1,0.013,1,7.55,6.32,0,0.0,0,1632,1.23,8,3,16,에란겔,1685
0,0,1,38,0,0,0,0.0,0,0.67,0.0,0,0.0,0,374,0.67,3,15,15,에란겔,1744
2,0,4,123,0,2,1,0.053,0,3.52,1.98,0,0.0,0,1454,1.54,7,2,17,미라마,1792
0,0,7,28,0,8,1,0.027,0,8.63,8.22,0,0.0,0,968,0.41,4,4,15,미라마,1886
0,0,4,0,0,3,0,0.0,0,6.91,6.32,0,0.0,0,749,0.59,2,13,15,미라마,1923
2,0,4,392,1,5,2,0.017,0,5.25,3.3,0,0.0,1,1510,1.94,7,5,15,에란겔,1736
1,0,8,122,0,9,0,0.0,1,6.7,5.23,0,0.0,0,1300,1.47,7,5,16,에란겔,1871
0,0,6,234,1,0,1,0.032,1,4.63,3.15,0,0.0,1,1141,1.48,3,7,15,태이고,1845
0,0,0,0,0,0,0,0.0,0,0.34,0.0,0,0.0,0,196,0.34,4,7,16,태이고,1853
0,0,6,31,0,0,0,0.0,1,5.08,3.1,0,0.0,0,1264,1.99,6,7,16,태이고,1611
1,3,10,142,0,5,0,0.0,1,6.07,3.66,0,0.06,0,1365,2.34,5,6,14,태이고,1692
1,2,6,244,0,3,1,0.187,2,7.63,5.84,0,0.0,0,1568,1.78,9,3,16,에란겔,1661
3,0,12,366,0,1,1,0.05,2,8.29,6.17,0,0.0,0,1737,2.12,5,3,17,태이고,1928
2,0,3,279,1,1,1,0.039,0,0.85,0.3,0,0.0,0,506,0.55,3,13,16,태이고,1672
2,0,0,10,0,0,0,0.0,1,0.15,0.0,0,0.0,0,191,0.15,5,15,15,미라마,1756
0,0,10,96,0,11,0,0.0,2,8.33,6.04,0,0.0,0,1607,2.28,7,3,15,미라마,1889
0,0,5,0,0,1,0,0.0,0,2.22,0.78,0,0.0,0,999,1.43,8,9,16,태이고,1765
0,0,3,35,0,1,0,0.0,0,4.67,2.76,0,0.0,0,1362,1.92,6,6,16,에란겔,1789
0,0,6,223,1,5,1,0.267,0,6.48,4.38,0,0.0,0,1661,2.1,8,3,17,에란겔,1842
1,1,6,71,0,1,1,0.179,0,6.06,4.34,0,0.0,0,1313,1.72,7,3,17,미라마,1872
0,1,8,48,0,5,0,0.0,0,4.19,2.33,0,0.0,0,1538,1.86,5,4,16,에란겔,1769
2,1,6,183,0,5,3,0.039,2,6.22,5.35,0,0.0,0,964,0.87,4,5,16,미라마,1943
0,0,2,0,0,1,0,0.0,0,3.21,2.36,0,0.0,0,836,0.85,7,3,16,에란겔,1836
0,0,3,69,1,1,1,0.27,0,4.26,3.06,0,0.0,0,1078,1.2,4,9,15,태이고,1694
0,0,4,56,0,3,0,0.0,0,3.42,2.35,0,0.0,0,878,1.07,4,13,15,에란겔,1664
0,0,7,0,0,2,0,0.0,0,6.47,5.13,0,0.0,0,1385,1.34,34,2,16,태이고,1909
2,1,5,171,0,14,2,0.041,0,5.39,4.49,0,0.0,0,959,0.9,7,9,16,에란겔,1712
1,3,6,244,0,8,1,0.071,1,6.58,4.94,0,0.0,0,1240,1.64,6,3,16,에란겔,1867
0,0,4,0,0,0,0,0.0,0,2.29,0.0,0,0.0,0,1082,2.29,4,4,19,미라마,1795
2,1,9,283,0,2,3,0.242,0,6.96,5.37,0,0.0,0,1485,1.58,4,3,18,태이고,1558
0,2,7,26,0,10,0,0.0,4,4.95,3.79,0,0.0,0,1248,1.17,5,5,17,태이고,1899
0,2,9,181,0,2,1,0.018,0,5.94,3.41,0,0.0,0,1618,2.53,6,1,16,에란겔,1618
1,2,9,198,1,0,2,0.246,0,8.0,6.72,0,0.0,0,1543,1.28,5,2,18,에란겔,1861
1,1,2,140,0,0,0,0.0,0,7.01,6.23,0,0.0,0,893,0.79,5,9,18,태이고,1541
4,2,1,491,0,0,5,0.026,0,4.22,3.97,0,0.0,0,1504,0.25,2,3,16,에란겔,1860
0,0,7,0,0,0,0,0.0,0,4.24,2.27,0,0.0,0,1505,1.97,3,1,17,미라마,1505
1,1,13,298,0,10,0,0.0,3,5.71,3.96,0,0.0,0,1537,1.75,6,4,16,태이고,1626
3,2,9,353,1,3,3,0.055,0,3.22,0.89,0,0.0,0,1642,2.33,8,4,15,미라마,1802
0,0,6,55,0,3,0,0.0,0,5.97,4.23,0,0.0,0,1408,1.74,4,6,17,태이고,1873
1,2,10,485,0,6,2,0.159,2,6.48,4.41,0,0.0,0,1821,2.07,7,1,16,에란겔,1821
2,1,8,520,1,0,2,0.075,0,5.73,3.9,0,0.0,0,1815,1.83,7,2,15,태이고,1818
2,1,7,413,0,0,2,0.085,1,5.09,3.2,0,0.0,0,1422,1.89,7,6,15,에란겔,1607
0,2,8,166,0,2,1,0.01,1,6.86,4.64,0,0.0,0,1778,2.22,7,4,17,에란겔,1879
4,0,11,574,0,4,3,0.037,0,5.55,3.72,0,0.0,1,1878,1.83,6,3,16,태이고,1887
3,1,4,429,0,1,3,0.429,0,6.7,5.01,0,0.0,0,1278,1.7,3,8,16,태이고,1720
1,0,2,216,1,0,1,0.492,0,7.97,6.28,0,0.02,1,1119,1.68,7,4,13,에란겔,1856
2,2,4,191,0,1,0,0.0,0,3.7,2.37,0,0.0,0,785,1.33,8,9,16,태이고,1822
0,0,9,355,0,2,0,0.0,0,8.64,7.18,0,0.0,0,1780,1.45,5,5,16,태이고,1917
0,1,6,137,0,1,0,0.0,1,6.04,4.46,0,0.0,0,1366,1.57,3,3,15,미라마,1874
0,1,7,79,0,9,0,0.0,1,9.08,7.81,0,0.0,0,1470,1.27,4,6,17,미라마,1912
0,0,3,0,0,0,0,0.0,0,6.82,6.0,0,0.0,0,652,0.82,3,10,16,미라마,1758
1,0,5,285,0,1,1,0.401,0,8.31,6.69,0,0.0,0,1346,1.62,3,6,16,미라마,1668
1,1,7,60,0,2,1,0.126,0,4.8,3.36,0,0.0,0,1259,1.44,5,6,16,태이고,1572
1,1,8,194,0,4,2,0.229,0,5.39,3.38,0,0.0,0,744,2.02,3,4,17,미라마,1870
2,2,8,317,0,2,1,0.081,0,7.59,5.89,0,0.0,0,1652,1.7,3,3,15,미라마,1903
0,1,6,99,0,1,0,0.0,0,7.28,6.08,0,0.0,0,1194,1.2,5,9,15,태이고,1693
4,3,13,475,1,9,5,0.195,1,7.68,5.81,0,0.0,0,1781,1.87,8,1,16,태이고,1781
0,1,4,107,0,0,0,0.0,0,7.14,6.07,0,0.0,1,1098,1.07,6,4,16,미라마,1898
4,2,9,731,1,2,3,0.123,1,8.59,6.2,0,0.0,0,1660,2.39,3,1,17,태이고,1660
1,0,0,0,0,0,0,0.0,0,2.17,1.67,0,0.0,0,379,0.5,4,13,16,태이고,1757
0,0,0,0,0,0,0,0.0,0,0.12,0.0,0,0.0,0,199,0.12,3,10,11,미라마,1803
1,2,10,229,0,4,2,0.153,1,9.71,8.15,0,0.01,0,1849,1.54,7,3,16,에란겔,1858
0,1,4,0,0,0,0,0.0,1,4.96,3.86,0,0.0,0,932,1.1,4,13,15,미라마,1900
3,1,10,420,0,3,3,0.018,0,3.38,2.15,0,0.0,0,1088,1.23,8,10,16,태이고,1533
0,1,3,26,0,1,0,0.0,0,3.07,2.09,0,0.0,0,566,0.98,7,14,16,미라마,1858
2,3,11,606,1,12,3,0.211,2,3.59,2.54,0,0.0,2,1593,1.04,5,4,16,에란겔,1743
1,3,12,236,0,2,1,0.037,2,7.82,5.5,0,0.0,0,1672,2.32,6,3,16,태이고,1776
0,0,0,85,0,0,0,0.0,0,0.07,0.0,0,0.0,0,110,0.07,1,16,16,미라마,1867
3,1,14,730,2,12,7,0.078,4,3.96,2.17,0,0.0,0,1630,1.79,7,2,15,에란겔,1633
4,0,9,412,0,5,2,0.024,1,4.45,2.9,0,0.0,0,1237,1.54,6,5,17,태이고,1470
0,0,5,0,0,1,0,0.0,0,3.13,2.17,0,0.0,0,690,0.95,6,10,15,태이고,1625
2,0,5,221,0,0,0,0.0,0,3.79,1.18,0,0.0,0,1047,2.61,5,10,16,에란겔,1764
1,3,0,341,1,0,1,0.036,0,1.78,1.1,0,0.0,0,489,0.68,4,14,15,미라마,1823
6,0,5,926,1,4,4,0.052,1,5.7,4.64,0,0.0,0,1282,1.06,5,6,16,에란겔,1664
2,2,5,372,0,4,3,0.112,0,7.11,4.39,0,0.02,0,1841,2.7,7,1,16,에란겔,1841
4,4,8,568,0,11,4,0.04,1,7.54,5.83,0,0.0,0,1113,1.71,5,5,17,태이고,1513
1,1,0,100,0,0,1,0.013,0,0.28,0.0,0,0.0,0,338,0.28,7,15,16,에란겔,1599
0,0,2,0,0,1,0,0.0,0,0.11,0.0,0,0.0,0,352,0.11,3,12,15,태이고,1478
0,2,14,364,0,4,2,0.059,1,4.05,2.01,0,0.0,1,1825,2.04,5,2,15,미라마,1828
3,2,4,294,1,2,1,0.248,1,1.82,0.0,0,0.0,0,660,1.82,7,10,17,태이고,1646
2,0,6,224,1,1,2,0.092,0,8.35,7.36,0,0.0,1,968,0.98,4,12,16,태이고,1603
0,0,9,94,0,3,0,0.0,1,6.35,4.99,0,0.0,0,1115,1.36,4,11,17,미라마,1752
1,1,11,417,1,2,2,0.197,1,4.75,2.49,0,0.0,0,1876,2.26,4,2,16,미라마,1906
0,0,4,33,0,0,0,0.0,0,3.95,3.16,0,0.0,0,700,0.79,6,13,16,에란겔,1813
0,0,2,0,0,0,0,0.0,0,0.82,0.31,0,0.0,0,440,0.51,7,9,15,미라마,1599
2,0,8,479,1,3,3,0.035,1,4.07,2.45,0,0.0,0,1929,1.62,8,1,16,미라마,1929
0,1,3,60,0,0,0,0.0,0,0.97,0.0,0,0.0,0,490,0.97,4,15,16,에란겔,1837
1,0,4,157,0,1,1,0.043,0,4.79,3.61,0,0.0,0,1079,1.18,5,11,16,태이고,1895
0,1,1,62,0,1,0,0.0,0,2.08,1.76,0,0.0,0,365,0.31,3,14,16,에란겔,1677
1,0,6,103,0,0,0,0.0,0,4.43,3.28,0,0.0,0,975,1.15,12,10,16,태이고,1893
2,1,7,175,1,6,2,0.005,0,4.65,3.6,0,0.0,0,888,1.05,9,6,16,미라마,1645
0,0,2,146,0,0,0,0.0,0,3.14,2.55,0,0.0,0,566,0.6,3,14,17,에란겔,1880
6,3,12,784,2,1,4,0.286,3,6.12,4.15,0,0.0,0,1798,1.98,6,1,16,에란겔,1798
0,0,3,0,0,0,0,0.0,0,4.16,3.49,0,0.0,0,676,0.67,5,5,15,에란겔,1794
1,0,3,126,0,0,0,0.0,0,3.95,3.3,0,0.0,0,557,0.65,7,11,16,미라마,1665
