dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,match_id,total_distance,created_at,map_name,duration,roster_id,telemetry_link
1,0,8,123.97092,byplayer,0,3,27,0,0,0.0,lm456852,account.568d5cabb8aa49e48ba6f8406fdc0f6d,2,2773.5588,0,0.0,0,1531,0,1263.8724,10,4,85,75697e54-ec2b-41b0-a19e-6a5a766baad4,4037.4312,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,e73c614c-1fd2-4b94-81a8-00a10483b1f4,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
0,0,5,169.4483,byplayer,0,0,30,0,0,0.0,baluhua,account.4a62cd73378543e4937a4f590b94eb79,1,3871.002,0,0.0,0,1408,0,1350.7203,4,4,100,75697e54-ec2b-41b0-a19e-6a5a766baad4,5221.722299999999,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,e73c614c-1fd2-4b94-81a8-00a10483b1f4,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
1,0,8,44.76906,byplayer,0,1,28,0,0,0.0,jiejiefengye,account.54b6e9a203804373943af6ef22677628,0,3143.8389,0,0.0,0,1531,0,1016.04553,4,4,198,75697e54-ec2b-41b0-a19e-6a5a766baad4,4159.88443,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,e73c614c-1fd2-4b94-81a8-00a10483b1f4,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
2,0,8,365.27127,byplayer,0,3,29,0,0,0.0,DaBoQ,account.15229ddb8c144dcf90932708f940aa0b,0,3338.6633,0,0.0,0,1529,0,1290.1699,5,4,372,75697e54-ec2b-41b0-a19e-6a5a766baad4,4628.8332,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,e73c614c-1fd2-4b94-81a8-00a10483b1f4,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
0,0,4,0.0,byzone,0,3,34,0,0,0.0,xiaoliangge23,account.59eb80c6ef9c4130a198a2d355d17fba,0,5428.5737,0,0.0,0,1295,0,1601.533,5,8,123,75697e54-ec2b-41b0-a19e-6a5a766baad4,7030.1067,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,3c9e6869-ec1f-49fd-8999-6151fbd2e97e,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
1,0,13,128.37999,byplayer,0,2,20,1,1,12.4788265,ELLLin,account.d0a475167ab24a49bd6a2b8fa462e90c,0,6169.879,0,0.0,0,1299,0,1305.0428,6,8,107,75697e54-ec2b-41b0-a19e-6a5a766baad4,7474.9218,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,3c9e6869-ec1f-49fd-8999-6151fbd2e97e,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
0,0,4,0.0,byplayer,0,1,35,0,0,0.0,BF--001,account.dc0453ed83794a46b23ddb54e3ee2e25,0,5281.783,0,0.0,0,1294,0,1501.139,5,8,100,75697e54-ec2b-41b0-a19e-6a5a766baad4,6782.9220000000005,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,3c9e6869-ec1f-49fd-8999-6151fbd2e97e,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
0,0,7,48.262497,byplayer,0,4,36,0,0,0.0,OG_xxxxxL,account.a6b8cb896a344be5bcd573ed630d1a9d,0,5102.9326,0,0.0,0,1287,0,1395.1619,6,8,128,75697e54-ec2b-41b0-a19e-6a5a766baad4,6498.0945,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,3c9e6869-ec1f-49fd-8999-6151fbd2e97e,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
1,0,6,100.0,byplayer,0,0,39,0,0,0.0,May530JM,account.8069ae856c7a47d3a705009f97807d25,0,1956.0316,0,6.675387,0,1171,0,4985.4624,6,10,100,75697e54-ec2b-41b0-a19e-6a5a766baad4,6948.169387000001,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,d7f68c29-d1bf-493d-a6ec-03d7feb729c3,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
0,0,0,0.0,byplayer,0,3,59,0,0,0.0,imgodordog,account.db3d40c771074be59ed614502efaba98,0,0.0,0,0.0,0,282,0,280.72363,5,15,130,75697e54-ec2b-41b0-a19e-6a5a766baad4,280.72363,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,d7f68c29-d1bf-493d-a6ec-03d7feb729c3,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
