dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,match_id,total_distance,created_at,map_name,duration,roster_id,telemetry_link
0,0,4,0.0,byplayer,0,1,36,0,0,0.0,Local_dog,account.e3bd20d19e494b31a3d4e55bff00e3be,0,6083.3076,0,69.376144,0,1410,0,3197.6125,7,5,202,d359cc52-668f-485a-99bd-cb741028ac39,9350.296244,2023-01-07T15:03:54Z,테이고,1910,57be695f-8845-451a-a76a-068a507326ce,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
0,0,6,91.87524,byplayer,0,6,34,0,0,0.0,Tian__dog,account.b1a91c44ee914c3daf8b0ec1ec44d0ad,0,7347.543,0,0.0,0,1519,0,2190.7573,6,5,396,d359cc52-668f-485a-99bd-cb741028ac39,9538.300299999999,2023-01-07T15:03:54Z,테이고,1910,57be695f-8845-451a-a76a-068a507326ce,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
0,0,4,150.21297,byplayer,0,2,35,0,0,0.0,scream_dog,account.14b9c4f1b6fb42bd9cced9a477cec4d8,1,7213.3867,0,12.425606,0,1519,0,2031.0664,6,5,184,d359cc52-668f-485a-99bd-cb741028ac39,9256.878706000001,2023-01-07T15:03:54Z,테이고,1910,57be695f-8845-451a-a76a-068a507326ce,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
0,0,4,53.174366,byplayer,0,0,37,0,0,0.0,AUEC1,account.ee41e57b24cc4494b39e73f9d6d208c6,0,6114.239,0,10.7250185,0,1386,0,3032.5525,5,5,100,d359cc52-668f-485a-99bd-cb741028ac39,9157.516518499999,2023-01-07T15:03:54Z,테이고,1910,57be695f-8845-451a-a76a-068a507326ce,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
1,1,9,420.64243,byplayer,0,5,33,0,0,0.0,Rush_Xing,account.df5e279fad4a47f1a1d3d91e216c8054,0,4807.976,0,0.0,0,1598,0,2448.8433,4,4,379,d359cc52-668f-485a-99bd-cb741028ac39,7256.819299999999,2023-01-07T15:03:54Z,테이고,1910,1c180f66-6aec-4d42-a00f-da6c87c09606,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
0,0,4,0.0,byplayer,0,1,46,0,0,0.0,Jr_Scorpio,account.aff5452b3d864d999048663448fc1611,0,4518.0767,0,0.0,0,932,0,1054.58,3,10,195,d359cc52-668f-485a-99bd-cb741028ac39,5572.6567,2023-01-07T15:03:54Z,테이고,1910,1c180f66-6aec-4d42-a00f-da6c87c09606,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
4,0,10,610.01666,byplayer,1,4,5,1,3,104.217415,GOD-2436,account.50f6de76f53a4f8f98ed7ce1300158b9,2,5610.66,0,0.0,0,1598,0,1985.0524,7,4,445,d359cc52-668f-485a-99bd-cb741028ac39,7595.7124,2023-01-07T15:03:54Z,테이고,1910,1c180f66-6aec-4d42-a00f-da6c87c09606,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
1,1,4,105.26532,byplayer,0,2,17,1,1,162.61047,XWANG_227,account.8117e711225347b8a531f1406deb5051,1,4857.0596,0,0.0,0,1523,0,1703.6665,8,4,274,d359cc52-668f-485a-99bd-cb741028ac39,6560.7261,2023-01-07T15:03:54Z,테이고,1910,1c180f66-6aec-4d42-a00f-da6c87c09606,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
1,1,14,324.34653,byplayer,1,6,8,1,2,97.04106,MORE_YOUNG,account.7a68c00f69fe44a3ad8e75de454df787,0,5617.2026,0,0.0,0,1907,0,2826.3215,7,2,492,d359cc52-668f-485a-99bd-cb741028ac39,8443.524099999999,2023-01-07T15:03:54Z,테이고,1910,7ea7defe-d45e-44b4-b522-6b1cd8ca3c9f,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
3,1,10,757.01483,byplayer,1,2,1,2,5,122.92994,Faker_61,account.d007f1e50d3348e0b4a4d675ef004d7d,1,6002.5825,0,0.0,0,1907,0,3668.85,5,2,281,d359cc52-668f-485a-99bd-cb741028ac39,9671.4325,2023-01-07T15:03:54Z,테이고,1910,7ea7defe-d45e-44b4-b522-6b1cd8ca3c9f,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
